Bird_ID,Tagged_By,Recovery_Time_days,Observation_Counts
B2859,Researcher_A,90,27
B2860,Researcher_A,24,22
B2863,Researcher_B,52,26
B2867,Researcher_C,79,49
B2868,Researcher_A,66,58
B2869,Researcher_C,115,33
B2871,Researcher_A,81,73
B2872,Researcher_A,96,80
B2873,Researcher_B,42,77
B2874,Researcher_C,6,66
B2876,Researcher_A,74,26
B2879,Researcher_B,102,97
B2881,Researcher_B,72,90
B2884,Researcher_A,60,9
B2886,Researcher_B,60,47
B2889,Researcher_C,17,32
B2890,Researcher_B,31,54
B2891,Researcher_C,3,14
B2892,Researcher_A,16,89
B2893,Researcher_A,1,22
B2895,Researcher_A,65,73
B2897,Researcher_C,106,49
B2898,Researcher_A,72,24
B2899,Researcher_A,116,52
B2900,Researcher_C,35,13
B2902,Researcher_B,24,27
B2905,Researcher_B,37,30
B2907,Researcher_A,35,48
B2909,Researcher_C,46,13
B2911,Researcher_A,55,77
B2912,Researcher_C,104,15
B2917,Researcher_A,5,3
B2919,Researcher_B,97,9
B2922,Researcher_C,40,8
B2923,Researcher_A,21,88
B2926,Researcher_C,77,76
B2927,Researcher_C,85,21
B2929,Researcher_B,101,10
B2930,Researcher_C,104,72
B2932,Researcher_A,111,33
B2933,Researcher_A,76,97
B2935,Researcher_C,1,13
B2936,Researcher_C,46,71
B2937,Researcher_A,24,80
B2939,Researcher_B,3,85
B2941,Researcher_C,15,66
B2942,Researcher_A,6,55
B2943,Researcher_B,75,97
B2944,Researcher_C,40,63
B2947,Researcher_B,69,25
B2948,Researcher_A,105,71
B2949,Researcher_B,66,51
B2952,Researcher_A,40,16
B2953,Researcher_A,98,42
B2954,Researcher_C,18,2
B2955,Researcher_A,90,44
B2956,Researcher_B,104,83
B2959,Researcher_A,93,20
B2961,Researcher_A,63,64
B2968,Researcher_B,14,65
B2969,Researcher_A,107,20
B2971,Researcher_C,68,14
B2976,Researcher_B,45,84
B2977,Researcher_B,41,40
B2978,Researcher_B,98,81
B2980,Researcher_B,8,13
B2981,Researcher_A,54,76
B2983,Researcher_A,76,70
B2985,Researcher_C,108,91
B2987,Researcher_B,117,22
B2992,Researcher_B,79,72
B2994,Researcher_C,52,59
B3001,Researcher_A,98,75
B3002,Researcher_A,101,28
B3003,Researcher_C,69,46
B3004,Researcher_A,16,8
B3005,Researcher_A,75,47
B3006,Researcher_B,85,67
B3007,Researcher_C,58,51
B3008,Researcher_B,53,30
B3009,Researcher_C,91,12
B3010,Researcher_C,57,15
B3012,Researcher_C,60,98
B3014,Researcher_A,21,68
B3017,Researcher_C,19,31
B3018,Researcher_C,105,75
B3019,Researcher_A,22,36
B3021,Researcher_C,70,82
B3023,Researcher_C,42,33
B3024,Researcher_B,45,2
B3026,Researcher_A,15,51
B3027,Researcher_C,89,50
B3029,Researcher_A,48,3
B3031,Researcher_C,118,74
B3032,Researcher_C,12,2
B3033,Researcher_A,46,57
B3034,Researcher_B,112,83
B3035,Researcher_C,4,88
B3037,Researcher_A,14,93
B3039,Researcher_B,33,36
B3040,Researcher_C,98,17
B3043,Researcher_B,1,3
B3045,Researcher_B,2,93
B3047,Researcher_C,83,54
B3049,Researcher_B,104,9
B3050,Researcher_B,34,10
B3051,Researcher_A,39,52
B3054,Researcher_C,35,27
B3055,Researcher_C,105,86
B3061,Researcher_A,79,6
B3062,Researcher_A,111,51
B3063,Researcher_A,106,30
B3065,Researcher_A,29,39
B3068,Researcher_B,96,44
B3070,Researcher_C,59,40
B3071,Researcher_B,72,32
B3073,Researcher_A,25,59
B3075,Researcher_B,44,17
B3076,Researcher_B,47,77
B3079,Researcher_A,57,88
B3080,Researcher_C,57,48
B3081,Researcher_C,27,32
B3083,Researcher_C,47,2
B3086,Researcher_B,108,91
B3090,Researcher_A,56,60
B3093,Researcher_B,105,47
B3094,Researcher_C,71,56
B3098,Researcher_B,89,51
B3101,Researcher_B,97,52
B3103,Researcher_A,31,56
B3107,Researcher_C,85,79
B3108,Researcher_A,40,44
B3109,Researcher_B,25,40
B3111,Researcher_C,6,76
B3112,Researcher_B,16,55
B3114,Researcher_C,107,69
B3115,Researcher_A,74,42
B3117,Researcher_B,34,77
B3118,Researcher_A,115,7
B3119,Researcher_A,23,19
B3120,Researcher_C,81,94
B3122,Researcher_C,6,67
B3123,Researcher_B,46,95
B3124,Researcher_C,28,6
B3126,Researcher_C,52,16
B3127,Researcher_C,80,13
B3132,Researcher_C,36,19
B3135,Researcher_C,42,51
B3141,Researcher_C,75,77
B3143,Researcher_C,65,36
B3147,Researcher_B,45,4
B3148,Researcher_B,77,25
B3150,Researcher_A,31,95
B3154,Researcher_B,47,57
B3159,Researcher_C,113,3
B3160,Researcher_A,60,5
B3161,Researcher_C,71,67
B3162,Researcher_A,39,16
B3163,Researcher_B,30,74
B3165,Researcher_A,28,90
B3166,Researcher_A,110,48
B3167,Researcher_C,44,90
B3168,Researcher_B,76,7
B3169,Researcher_C,68,86
B3171,Researcher_C,2,88
B3172,Researcher_B,24,45
B3173,Researcher_C,49,11
B3174,Researcher_B,108,21
B3175,Researcher_B,29,91
B3177,Researcher_A,60,67
B3178,Researcher_B,108,59
B3179,Researcher_A,58,60
B3183,Researcher_C,32,55
B3185,Researcher_B,74,58
B3189,Researcher_B,53,92
B3191,Researcher_A,112,38
B3193,Researcher_C,63,41
B3194,Researcher_A,23,96
B3198,Researcher_C,46,70
B3199,Researcher_B,5,11
B3201,Researcher_C,10,82
B3203,Researcher_C,26,41
B3206,Researcher_B,83,46
B3209,Researcher_B,59,6
B3211,Researcher_C,65,21
B3214,Researcher_C,117,45
B3215,Researcher_C,23,54
B3221,Researcher_C,84,44
B3223,Researcher_B,68,84
B3224,Researcher_C,51,75
B3225,Researcher_B,1,53
B3227,Researcher_B,106,87
B3228,Researcher_B,106,61
B3229,Researcher_C,35,11
B3230,Researcher_A,56,88
B3231,Researcher_C,4,48
B3234,Researcher_C,14,40
B3239,Researcher_A,40,29
B3240,Researcher_B,42,51
B3243,Researcher_C,4,6
B3244,Researcher_C,45,61
B3245,Researcher_C,83,82
B3247,Researcher_C,114,28
B3250,Researcher_B,83,71
B3254,Researcher_C,93,26
B3256,Researcher_C,12,64
B3258,Researcher_B,21,30
B3264,Researcher_B,22,62
B3265,Researcher_A,78,37
B3266,Researcher_A,7,81
B3272,Researcher_B,42,70
B3273,Researcher_C,109,15
B3276,Researcher_C,50,89
B3280,Researcher_B,101,83
B3283,Researcher_A,115,41
B3285,Researcher_B,64,60
B3286,Researcher_A,61,53
B3287,Researcher_A,50,11
B3289,Researcher_A,42,18
B3290,Researcher_B,43,76
B3291,Researcher_B,42,39
B3292,Researcher_C,39,60
B3295,Researcher_C,70,34
B3297,Researcher_C,26,10
B3298,Researcher_B,26,62
B3301,Researcher_B,53,96
B3305,Researcher_A,75,8
B3306,Researcher_A,23,23
B3307,Researcher_B,40,52
B3308,Researcher_C,54,18
B3309,Researcher_C,53,26
B3310,Researcher_B,31,74
B3312,Researcher_B,4,14
B3316,Researcher_C,36,41
B3317,Researcher_C,72,34
B3318,Researcher_A,81,55
B3319,Researcher_A,6,28
B3323,Researcher_A,88,72
B3324,Researcher_A,8,65
B3325,Researcher_B,35,2
B3326,Researcher_A,32,9
B3328,Researcher_A,105,75
B3333,Researcher_A,46,69
B3337,Researcher_C,45,6
B3339,Researcher_B,2,26
B3341,Researcher_A,17,95
B3343,Researcher_C,110,29
B3344,Researcher_C,32,71
B3347,Researcher_C,8,21
B3348,Researcher_C,43,6
B3349,Researcher_B,108,42
B3350,Researcher_B,93,91
B3352,Researcher_C,9,60
B3355,Researcher_A,57,46
B3356,Researcher_C,100,60
B3357,Researcher_A,22,69
B3359,Researcher_B,118,38
B3360,Researcher_B,74,2
B3362,Researcher_A,71,41
B3365,Researcher_C,84,89
B3368,Researcher_B,119,24
B3369,Researcher_A,71,43
B3371,Researcher_C,47,89
B3373,Researcher_C,86,93
B3374,Researcher_A,111,2
B3378,Researcher_A,37,35
B3379,Researcher_B,97,19
B3380,Researcher_B,3,99
B3381,Researcher_A,85,12
B3384,Researcher_A,90,55
B3386,Researcher_B,72,27
B3387,Researcher_C,71,74
B3388,Researcher_C,17,20
B3390,Researcher_C,25,67
B3391,Researcher_B,93,93
B3392,Researcher_C,78,61
B3393,Researcher_C,104,52
B3399,Researcher_C,47,59
B3402,Researcher_C,44,16
B3403,Researcher_B,63,11
B3406,Researcher_C,24,20
B3407,Researcher_A,24,27
B3409,Researcher_A,67,94
B3411,Researcher_B,111,67
B3415,Researcher_B,103,72
B3416,Researcher_C,28,4
B3417,Researcher_B,9,29
B3419,Researcher_A,55,16
B3420,Researcher_C,89,69
B3422,Researcher_B,64,50
B3427,Researcher_B,115,1
B3429,Researcher_C,27,64
B3430,Researcher_C,50,36
B3431,Researcher_A,22,42
B3433,Researcher_A,67,80
B3434,Researcher_B,61,65
B3437,Researcher_B,30,54
B3453,Researcher_B,88,36
B3455,Researcher_A,104,34
B3456,Researcher_C,1,57
B3457,Researcher_A,19,31
B3463,Researcher_A,72,70
B3465,Researcher_B,8,70
B3466,Researcher_B,80,24
B3467,Researcher_B,9,72
B3471,Researcher_C,8,69
B3473,Researcher_B,98,57
B3474,Researcher_A,21,18
B3475,Researcher_B,48,84
B3476,Researcher_B,50,3
B3479,Researcher_A,32,35
B3482,Researcher_C,95,79
B3483,Researcher_C,119,32
B3486,Researcher_B,87,98
B3487,Researcher_B,102,7
B3490,Researcher_A,41,13
B3493,Researcher_B,85,24
B3494,Researcher_C,116,57
B3495,Researcher_A,55,67
B3496,Researcher_B,110,3
B3498,Researcher_C,112,18
B3500,Researcher_A,96,25
B3503,Researcher_C,44,30
B3504,Researcher_A,87,3
B3505,Researcher_C,83,61
B3507,Researcher_C,95,97
B3512,Researcher_C,96,37
B3515,Researcher_B,23,17
B3516,Researcher_B,74,72
B3517,Researcher_C,109,42
B3518,Researcher_B,2,79
B3522,Researcher_C,35,77
B3523,Researcher_A,52,99
B3525,Researcher_B,51,8
B3526,Researcher_C,41,27
B3528,Researcher_A,69,77
B3531,Researcher_A,36,76
B3532,Researcher_C,35,57
B3533,Researcher_A,43,75
B3534,Researcher_A,40,11
B3540,Researcher_C,104,37
B3541,Researcher_C,51,43
B3546,Researcher_B,32,69
B3547,Researcher_B,106,99
B3549,Researcher_C,24,32
B3551,Researcher_B,18,20
B3552,Researcher_C,36,32
B3553,Researcher_C,57,65
B3556,Researcher_A,41,25
B3557,Researcher_C,44,20
B3558,Researcher_B,78,50
B3559,Researcher_B,69,64
B3560,Researcher_A,113,78
B3561,Researcher_A,35,14
B3562,Researcher_C,89,70
B3563,Researcher_A,61,95
B3564,Researcher_C,30,11
B3567,Researcher_A,13,61
B3572,Researcher_B,99,85
B3577,Researcher_C,23,94
B3578,Researcher_A,66,97
B3579,Researcher_B,84,71
B3580,Researcher_C,106,13
B3581,Researcher_B,35,10
B3583,Researcher_C,77,25
B3585,Researcher_A,2,91
B3587,Researcher_C,74,79
B3588,Researcher_A,25,28
B3590,Researcher_B,82,56
B3591,Researcher_C,59,38
B3596,Researcher_A,81,15
B3597,Researcher_B,107,59
B3598,Researcher_A,72,21
B3601,Researcher_A,117,33
B3610,Researcher_C,104,54
B3611,Researcher_C,3,66
B3612,Researcher_B,83,22
B3615,Researcher_C,35,7
B3616,Researcher_C,87,22
B3618,Researcher_C,99,57
B3620,Researcher_A,35,35
B3621,Researcher_A,75,41
B3622,Researcher_C,56,48
B3623,Researcher_C,50,41
B3627,Researcher_A,14,98
B3630,Researcher_C,114,83
B3631,Researcher_C,112,60
B3633,Researcher_B,90,96
B3636,Researcher_B,26,8
B3643,Researcher_A,48,51
B3646,Researcher_B,5,3
B3647,Researcher_A,35,32
B3650,Researcher_B,60,77
B3651,Researcher_C,13,6
B3654,Researcher_B,85,3
B3655,Researcher_B,12,92
B3656,Researcher_C,61,83
B3657,Researcher_B,36,66
B3661,Researcher_C,109,7
B3662,Researcher_C,109,91
B3663,Researcher_C,85,62
B3664,Researcher_A,9,28
B3668,Researcher_A,58,55
B3669,Researcher_C,47,26
B3671,Researcher_C,72,87
B3674,Researcher_C,45,19
B3677,Researcher_A,92,65
B3679,Researcher_A,48,4
B3681,Researcher_C,8,51
B3683,Researcher_C,46,92
B3684,Researcher_A,114,88
B3686,Researcher_B,21,96
B3688,Researcher_C,7,55
B3691,Researcher_B,81,94
B3693,Researcher_A,72,3
B3695,Researcher_A,56,44
B3696,Researcher_A,29,10
B3699,Researcher_A,83,53
B3705,Researcher_B,21,62
B3706,Researcher_B,38,10
B3708,Researcher_A,75,39
B3711,Researcher_A,12,1
B3712,Researcher_A,62,84
B3713,Researcher_B,112,4
B3715,Researcher_A,71,7
B3718,Researcher_A,53,47
B3720,Researcher_C,70,57
B3723,Researcher_C,108,92
B3724,Researcher_C,53,63
B3725,Researcher_B,12,63
B3726,Researcher_B,40,76
B3727,Researcher_B,102,10
B3729,Researcher_C,113,36
B3730,Researcher_B,111,94
B3731,Researcher_C,110,33
B3732,Researcher_A,1,22
B3734,Researcher_A,76,8
B3735,Researcher_C,102,34
B3736,Researcher_A,59,19
B3737,Researcher_A,58,63
B3738,Researcher_C,7,87
B3740,Researcher_B,54,29
B3743,Researcher_A,29,54
B3744,Researcher_B,41,79
B3746,Researcher_A,88,34
B3748,Researcher_A,86,50
B3750,Researcher_B,56,66
B3751,Researcher_B,37,47
B3753,Researcher_B,106,57
B3754,Researcher_A,92,97
B3755,Researcher_B,35,44
B3756,Researcher_C,118,30
B3758,Researcher_B,98,73
B3760,Researcher_A,59,35
B3761,Researcher_B,27,16
B3762,Researcher_C,105,54
B3764,Researcher_C,107,11
B3765,Researcher_B,105,82
B3767,Researcher_C,23,25
B3769,Researcher_B,76,23
B3771,Researcher_B,2,88
B3772,Researcher_B,47,88
B3773,Researcher_B,92,6
B3775,Researcher_C,90,15
B3777,Researcher_C,38,40
B3778,Researcher_B,26,31
B3780,Researcher_C,99,71
B3782,Researcher_A,54,47
B3784,Researcher_B,26,66
B3787,Researcher_C,103,28
B3788,Researcher_A,21,7
B3789,Researcher_C,95,91
B3791,Researcher_C,21,86
B3792,Researcher_B,73,61
B3793,Researcher_B,95,32
B3794,Researcher_C,98,17
B3795,Researcher_C,117,83
B3796,Researcher_B,103,42
B3797,Researcher_C,29,40
B3799,Researcher_C,112,84
B3802,Researcher_C,116,33
B3803,Researcher_C,119,99
B3805,Researcher_B,119,84
B3806,Researcher_A,79,61
B3807,Researcher_A,43,99
B3808,Researcher_C,34,68
B3809,Researcher_B,76,77
B3813,Researcher_C,72,54
B3814,Researcher_B,10,38
B3820,Researcher_A,9,52
B3823,Researcher_A,41,70
B3827,Researcher_B,85,6
B3828,Researcher_A,2,14
B3829,Researcher_A,28,62
B3833,Researcher_C,18,32
B3836,Researcher_C,33,83
B3838,Researcher_A,85,4
B3839,Researcher_B,18,35
B3842,Researcher_A,71,8
B3844,Researcher_C,61,91
B3846,Researcher_C,17,54
B3849,Researcher_B,36,80
B3850,Researcher_B,16,26
B3853,Researcher_A,85,95
B3857,Researcher_B,64,38
B3861,Researcher_C,2,21
B3864,Researcher_B,39,12
B3866,Researcher_B,18,95
B3867,Researcher_C,2,94
B3870,Researcher_B,32,27
B3872,Researcher_A,41,61
B3874,Researcher_B,84,52
B3875,Researcher_B,28,24
B3877,Researcher_B,96,74
B3882,Researcher_B,25,13
B3883,Researcher_A,86,70
B3885,Researcher_C,61,3
B3886,Researcher_B,16,3
B3888,Researcher_B,53,89
B3889,Researcher_A,44,18
B3891,Researcher_B,1,55
B3896,Researcher_A,78,90
B3897,Researcher_C,3,85
B3899,Researcher_B,41,61
B3901,Researcher_C,64,8
B3902,Researcher_B,52,40
B3905,Researcher_B,99,11
B3910,Researcher_A,50,12
B3916,Researcher_B,52,12
B3918,Researcher_A,101,28
B3919,Researcher_C,51,81
B3920,Researcher_C,18,18
B3923,Researcher_C,4,4
B3925,Researcher_C,75,82
B3926,Researcher_B,90,81
B3928,Researcher_C,105,29
B3929,Researcher_C,103,51
B3932,Researcher_B,22,41
B3935,Researcher_C,49,39
B3936,Researcher_C,59,12
B3937,Researcher_B,48,67
B3938,Researcher_A,93,69
B3940,Researcher_B,34,88
B3942,Researcher_B,111,58
B3943,Researcher_C,31,72
B3944,Researcher_C,61,57
B3946,Researcher_A,54,49
B3950,Researcher_A,116,69
B3952,Researcher_B,74,50
B3953,Researcher_A,111,27
B3958,Researcher_C,38,65
B3960,Researcher_B,73,20
B3961,Researcher_B,44,15
B3962,Researcher_A,42,53
B3963,Researcher_C,76,43
B3964,Researcher_B,87,55
B3965,Researcher_B,97,5
B3966,Researcher_B,30,53
B3968,Researcher_A,5,99
B3969,Researcher_C,58,87
B3975,Researcher_A,76,62
B3976,Researcher_A,25,15
B3977,Researcher_B,34,38
B3978,Researcher_C,37,90
B3979,Researcher_A,93,92
B3981,Researcher_A,15,38
B3985,Researcher_A,110,90
B3988,Researcher_B,39,38
B3989,Researcher_B,95,53
B3993,Researcher_B,105,17
B4006,Researcher_C,81,42
B4007,Researcher_B,21,99
B4008,Researcher_A,40,3
B4009,Researcher_B,87,14
B4018,Researcher_C,19,14
B4021,Researcher_B,16,58
B4025,Researcher_A,17,64
B4027,Researcher_A,60,7
B4028,Researcher_C,84,14
B4031,Researcher_C,38,64
B4034,Researcher_A,111,48
B4036,Researcher_B,58,92
B4037,Researcher_B,83,61
B4042,Researcher_C,110,1
B4043,Researcher_C,76,88
B4045,Researcher_A,102,2
B4048,Researcher_A,15,1
B4049,Researcher_B,58,15
B4053,Researcher_C,5,23
B4054,Researcher_B,110,3
B4055,Researcher_C,63,30
B4056,Researcher_C,62,18
B4057,Researcher_B,83,77
B4058,Researcher_A,52,24
B4059,Researcher_B,88,6
B4060,Researcher_C,62,1
B4061,Researcher_A,115,90
B4064,Researcher_A,27,34
B4066,Researcher_B,110,73
B4067,Researcher_B,83,96
B4069,Researcher_B,49,78
B4070,Researcher_C,2,74
B4071,Researcher_C,15,50
B4072,Researcher_B,39,68
B4074,Researcher_B,36,99
B4080,Researcher_C,54,23
B4082,Researcher_C,59,59
B4084,Researcher_A,8,31
B4085,Researcher_A,56,58
B4086,Researcher_B,116,10
B4090,Researcher_A,26,9
B4092,Researcher_A,39,17
B4093,Researcher_B,9,15
B4097,Researcher_A,26,88
B4099,Researcher_B,16,4
B4100,Researcher_A,72,59
B4102,Researcher_A,52,89
B4103,Researcher_C,48,48
B4108,Researcher_B,11,3
B4109,Researcher_C,92,94
B4110,Researcher_A,48,68
B4113,Researcher_C,88,60
B4114,Researcher_A,13,12
B4116,Researcher_B,88,65
B4117,Researcher_C,28,5
B4118,Researcher_A,86,83
B4119,Researcher_A,4,45
B4120,Researcher_B,4,57
B4122,Researcher_B,84,73
B4124,Researcher_A,64,19
B4125,Researcher_C,46,82
B4126,Researcher_B,59,35
B4128,Researcher_B,25,3
B4129,Researcher_B,61,40
B4132,Researcher_A,89,53
B4133,Researcher_A,48,68
B4134,Researcher_B,48,24
B4135,Researcher_A,103,44
B4138,Researcher_C,6,73
B4139,Researcher_A,97,26
B4143,Researcher_C,98,82
B4144,Researcher_A,49,67
B4145,Researcher_B,52,10
B4146,Researcher_A,114,61
B4147,Researcher_C,104,80
B4149,Researcher_C,69,53
B4150,Researcher_C,104,99
B4151,Researcher_A,87,57
B4152,Researcher_B,70,55
B4154,Researcher_C,27,2
B4159,Researcher_A,94,13
B4160,Researcher_C,92,71
B4163,Researcher_C,110,57
B4165,Researcher_B,12,79
B4166,Researcher_C,42,60
B4169,Researcher_B,57,60
B4170,Researcher_A,115,28
B4171,Researcher_C,72,14
B4172,Researcher_B,105,96
B4174,Researcher_B,91,34
B4177,Researcher_C,115,94
B4180,Researcher_A,67,63
B4181,Researcher_C,118,65
B4182,Researcher_B,1,93
B4185,Researcher_C,32,91
B4186,Researcher_C,84,79
B4187,Researcher_B,33,97
B4189,Researcher_B,66,51
B4190,Researcher_C,19,1
B4191,Researcher_B,20,4
B4193,Researcher_C,87,36
B4194,Researcher_A,56,99
B4195,Researcher_C,67,44
B4196,Researcher_B,62,86
B4200,Researcher_B,5,16
B4202,Researcher_C,83,33
B4204,Researcher_B,78,84
B4205,Researcher_C,7,94
B4207,Researcher_A,33,93
B4208,Researcher_C,97,70
B4213,Researcher_A,116,77
B4215,Researcher_A,31,62
B4218,Researcher_A,90,19
B4219,Researcher_A,68,70
B4220,Researcher_B,55,92
B4221,Researcher_C,33,54
B4225,Researcher_C,79,28
B4226,Researcher_A,24,51
B4228,Researcher_A,57,40
B4229,Researcher_C,100,7
B4230,Researcher_B,105,64
B4231,Researcher_B,65,8
B4232,Researcher_B,104,37
B4233,Researcher_C,3,26
B4234,Researcher_C,5,68
B4235,Researcher_B,84,37
B4238,Researcher_A,91,58
B4240,Researcher_C,104,23
B4243,Researcher_C,62,68
B4245,Researcher_A,77,49
B4247,Researcher_A,42,11
B4249,Researcher_C,51,45
B4252,Researcher_C,20,95
B4254,Researcher_C,110,3
B4257,Researcher_B,97,3
B4260,Researcher_A,25,21
B4262,Researcher_B,54,80
B4267,Researcher_A,83,80
B4268,Researcher_B,52,48
B4270,Researcher_C,57,13
B4274,Researcher_C,83,32
B4275,Researcher_C,82,40
B4285,Researcher_B,96,35
B4289,Researcher_A,23,15
B4291,Researcher_C,119,61
B4293,Researcher_C,26,30
B4295,Researcher_B,84,71
B4297,Researcher_B,109,8
B4298,Researcher_B,42,59
B4302,Researcher_B,23,97
B4304,Researcher_B,110,61
B4305,Researcher_B,117,8
B4306,Researcher_B,78,27
B4307,Researcher_C,47,32
B4311,Researcher_C,96,85
B4313,Researcher_A,3,79
B4314,Researcher_A,105,91
B4316,Researcher_A,3,26
B4317,Researcher_C,90,6
B4318,Researcher_C,102,25
B4320,Researcher_B,47,98
B4323,Researcher_C,71,36
B4326,Researcher_C,36,30
B4327,Researcher_B,43,14
B4328,Researcher_A,102,84
B4332,Researcher_C,75,92
B4333,Researcher_A,90,15
B4338,Researcher_B,82,13
B4341,Researcher_A,52,54
B4342,Researcher_B,85,57
B4348,Researcher_A,118,24
B4349,Researcher_B,68,58
B4351,Researcher_B,3,97
B4353,Researcher_A,75,67
B4354,Researcher_B,118,49
B4355,Researcher_B,4,97
B4358,Researcher_B,114,73
B4359,Researcher_C,39,79
B4361,Researcher_A,71,30
B4363,Researcher_C,110,69
B4365,Researcher_B,86,12
B4366,Researcher_B,118,53
B4368,Researcher_B,37,91
B4372,Researcher_A,84,9
B4373,Researcher_A,78,27
B4375,Researcher_C,49,65
B4379,Researcher_A,85,94
B4380,Researcher_A,33,62
B4382,Researcher_B,40,54
B4384,Researcher_A,116,11
B4385,Researcher_B,85,58
B4386,Researcher_A,19,53
B4387,Researcher_B,108,22
B4389,Researcher_A,42,84
B4391,Researcher_A,64,86
B4392,Researcher_A,22,21
B4393,Researcher_C,32,62
B4395,Researcher_B,67,7
B4397,Researcher_C,61,17
B4398,Researcher_C,51,58
B4401,Researcher_B,80,98
B4402,Researcher_C,70,94
B4405,Researcher_B,71,97
B4407,Researcher_B,84,87
B4408,Researcher_B,93,11
B4411,Researcher_B,25,69
B4413,Researcher_C,17,14
B4416,Researcher_B,13,44
B4418,Researcher_B,105,37
B4419,Researcher_B,71,24
B4422,Researcher_C,9,51
B4423,Researcher_B,72,54
B4425,Researcher_B,111,20
B4429,Researcher_B,44,13
B4431,Researcher_C,47,88
B4432,Researcher_C,7,38
B4433,Researcher_C,76,7
B4434,Researcher_A,97,29
B4435,Researcher_A,16,3
B4439,Researcher_B,87,8
B4441,Researcher_C,16,24
B4442,Researcher_C,119,14
B4443,Researcher_A,83,89
B4444,Researcher_A,100,32
B4445,Researcher_A,46,94
B4446,Researcher_B,6,37
B4451,Researcher_B,119,87
B4452,Researcher_C,17,72
B4459,Researcher_C,26,7
B4461,Researcher_C,97,19
B4462,Researcher_C,35,4
B4465,Researcher_C,45,63
B4470,Researcher_C,11,52
B4471,Researcher_A,54,28
B4474,Researcher_C,67,21
B4477,Researcher_A,99,66
B4479,Researcher_C,74,8
B4481,Researcher_A,89,8
B4482,Researcher_A,55,38
B4486,Researcher_B,45,99
B4487,Researcher_A,12,47
B4492,Researcher_A,62,87
B4493,Researcher_C,109,29
B4496,Researcher_C,77,36
B4498,Researcher_B,59,19
B4499,Researcher_A,22,58
B4501,Researcher_B,60,94
B4502,Researcher_A,51,83
B4504,Researcher_A,73,36
B4508,Researcher_B,18,85
B4510,Researcher_A,82,18
B4511,Researcher_B,30,57
B4512,Researcher_C,40,68
B4513,Researcher_A,96,34
B4514,Researcher_A,22,78
B4518,Researcher_B,13,69
B4519,Researcher_C,39,26
B4522,Researcher_A,117,91
B4524,Researcher_B,63,43
B4526,Researcher_A,87,15
B4527,Researcher_A,107,65
B4529,Researcher_A,58,63
B4531,Researcher_B,117,95
B4536,Researcher_C,37,51
B4537,Researcher_A,99,74
B4539,Researcher_A,2,45
B4541,Researcher_B,3,17
B4545,Researcher_A,66,36
B4546,Researcher_B,36,5
B4547,Researcher_B,77,81
B4550,Researcher_B,40,84
B4552,Researcher_B,75,27
B4553,Researcher_A,61,3
B4557,Researcher_B,61,47
B4562,Researcher_B,40,87
B4563,Researcher_A,3,79
B4564,Researcher_C,34,63
B4565,Researcher_B,3,54
B4570,Researcher_C,111,15
B4574,Researcher_B,47,21
B4575,Researcher_B,98,90
B4576,Researcher_B,113,29
B4577,Researcher_A,14,27
B4578,Researcher_C,69,56
B4579,Researcher_B,109,38
B4580,Researcher_C,4,14
B4581,Researcher_B,18,71
B4583,Researcher_C,64,54
B4586,Researcher_C,70,39
B4589,Researcher_B,96,62
B4591,Researcher_C,100,66
B4592,Researcher_A,108,45
B4594,Researcher_C,86,86
B4597,Researcher_A,102,60
B4598,Researcher_A,102,90
B4601,Researcher_B,30,88
B4602,Researcher_B,75,13
B4606,Researcher_C,68,77
B4607,Researcher_A,112,84
B4608,Researcher_C,36,73
B4609,Researcher_A,51,46
B4613,Researcher_C,15,74
B4616,Researcher_A,74,74
B4620,Researcher_B,24,44
B4621,Researcher_C,96,20
B4629,Researcher_C,90,63
B4631,Researcher_A,67,48
B4632,Researcher_C,92,66
B4633,Researcher_C,118,26
B4634,Researcher_A,75,67
B4636,Researcher_C,116,4
B4637,Researcher_B,19,88
B4638,Researcher_A,32,93
B4640,Researcher_A,69,35
B4641,Researcher_B,116,76
B4642,Researcher_C,63,80
B4644,Researcher_B,5,33
B4645,Researcher_C,32,7
B4647,Researcher_B,83,33
B4652,Researcher_A,52,57
B4653,Researcher_B,65,28
B4656,Researcher_C,58,33
B4657,Researcher_C,7,37
B4660,Researcher_A,51,3
B4667,Researcher_C,66,41
B4669,Researcher_C,24,46
B4670,Researcher_C,105,68
B4672,Researcher_A,35,25
B4673,Researcher_C,97,12
B4675,Researcher_C,96,33
B4679,Researcher_C,104,33
B4684,Researcher_C,101,45
B4691,Researcher_A,115,17
B4693,Researcher_A,5,63
B4699,Researcher_A,47,84
B4700,Researcher_A,110,80
B4701,Researcher_C,73,81
B4703,Researcher_B,81,61
B4704,Researcher_A,111,14
B4705,Researcher_B,33,34
B4706,Researcher_B,69,46
B4709,Researcher_A,92,97
B4714,Researcher_B,79,12
B4717,Researcher_B,37,36
B4719,Researcher_C,32,95
B4721,Researcher_C,82,73
B4723,Researcher_A,93,27
B4728,Researcher_B,55,30
B4730,Researcher_C,53,99
B4731,Researcher_A,31,77
B4732,Researcher_A,92,13
B4734,Researcher_C,2,45
B4735,Researcher_C,114,88
B4737,Researcher_A,77,96
B4739,Researcher_A,77,37
B4741,Researcher_A,80,5
B4743,Researcher_C,68,19
B4749,Researcher_C,119,47
B4750,Researcher_C,28,6
B4753,Researcher_C,70,79
B4754,Researcher_C,53,18
